state_code,constituency_no,constituency_name,constituency_name_ml,district,region,wikidata,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,update_time
S115,135,Nemom,നേമം,Thiruvananthapuram,South Keralam,Q13113005,RAJEEV CHANDRASEKHAR,Bharatiya Janata,V SIVANKUTTY,Communist Party of India (Marxist),3928,5/18,Result in Progress,2026-05-04 11:37:53
S115,140,Neyyattinkara,നെയ്യാറ്റിൻകര,Thiruvananthapuram,South Keralam,Q16136265,K. ANSALAN,Communist,N. SHAKTHAN,Indian National Congress,1531,8/18,Result in Progress,2026-05-04 11:37:53
S115,35,Nilambur,നിലമ്പൂർ,Malappuram,North Keralam,Q13112913,ARYADAN SHOUKATH,Indian National Congress,U SHARAFALI,Independent,24367,8/19,Result in Progress,2026-05-04 11:37:53
S115,66,Ollur,ഒല്ലൂർ,Thrissur,Centeral Keralam,Q7088394,K RAJAN,Communist,ADV. SHAJI J KODANKANDATH,Indian National Congress,5182,3/16,Result in Progress,2026-05-04 11:37:53
S115,52,Ottapalam,ഒറ്റപ്പാലം,Palakkad,Centeral Keralam,Q13110827,ADV. K. PREMKUMAR,Communist,P.K SASI P.K.S S/O PADMINI AMMA,Independent,20918,9/14,Result in Progress,2026-05-04 11:37:53
S115,93,Pala,പാലാ,Kottayam,Centeral Keralam,Q13113213,MANI C KAPPEN,Independent,JOSE K MANI,Kerala Congress (M),4896,6/16,Result in Progress,2026-05-04 11:37:53
S115,56,Palakkad,പാലക്കാട്,Palakkad,Centeral Keralam,Q18536954,SOBHA SURENDRAN,Bharatiya Janata,RAMESH PISHARODY,Indian National Congress,2728,4/11,Result in Progress,2026-05-04 11:37:53
S115,137,Parassala,പാറശ്ശാല,Thiruvananthapuram,South Keralam,Q13113201,C K HAREENDRAN,Communist,NEYYATTINKARA SANAL,Indian National Congress,5285,6/20,Result in Progress,2026-05-04 11:37:53
S115,78,Paravur,പറവൂർ,Ernakulam,Centeral Keralam,Q13113120,ADV.V.D.SATHEESAN,Indian National Congress,E.T.TAISON MASTER,Communist Party of India,5312,7/16,Result in Progress,2026-05-04 11:37:53
S115,120,Pathanapuram,പത്തനാപുരം,Kollam,South Keralam,Q13113068,JYOTHI KUMAR CHAMAKKALA,Indian National Congress,K B GANESH KUMAR,Kerala Congress (B),2931,5/14,Result in Progress,2026-05-04 11:37:53
